;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00903-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;12;;;;-2;;-24;;
;;;;;;;; PRO SEGMENTADO 110 X 20;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00904-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;23;;;;3;;69;;
;;;;;;;; PRO TURBO    110 X 20;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00905-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;36,79;;;;3;;110,37;;
;;;;;;;; PRO TURBO     180 X 20;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;01494-;DISCO DIAMANTADO DINSER ;;P€;;;;;;0;;27,83;;;;-1;;-27,83;;
;;;;;;;;4 1/2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;03681-;DISCO CORTE NORTON INOX  ;;P€;;;;;;0;;1,78;;;;1000;;1776,25;;
;;;;;;;;AR 332  7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;05727-;DISCO CORTE CLASSIC 115 X ;;P€;;;;;;0;;;;;;-14;;0;;
;;;;;;;;1.6 X 7/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06180-;DISCO CORTE 254.0 X 3.2 X ;;P€;;;;;;0;;10,03;;;;;;0;;
;;;;;;;;190;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06524-;DISCO CORTE 254.0 X 3.2 X ;;P€;;;;;;0;;0;;;;;;0;;
;;;;;;;;25,4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06652-;DISCO CORTE VONDER 12 X 1;;P€;;;;;;0;;16,09;;;;3;;48,27;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89179E+12;;;;;;06774-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;7,91;;;;41;;324,31;;
;;;;;;;; CLASSIC TURBO    110 X 20 ;;;;;;;;;;;;;;;;;;
;;;;;;;;MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89179E+12;;;;;;06775-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;7,91;;;;42;;332,22;;
;;;;;;;; CLASSIC SEGMENTADO 110 ;;;;;;;;;;;;;;;;;;
;;;;;;;;X 20 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89179E+12;;;;;;06776-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;6,59;;;;26;;171,34;;
;;;;;;;; CLASSIC CONTINUO  110 X ;;;;;;;;;;;;;;;;;;
;;;;;;;;20 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;06783-;DISCO CORTE BASIC  ;;P€;;;;;;0;;1,31;;;;1999;;2618,69;;
;;;;;;;;NORTON 115 X 1.0 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06842-;DISCO CORTE BASIC  ;;P€;;;;;;0;;2,72;;;;591;;1607,52;;
;;;;;;;;NORTON 180 X 1.6 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06986-;DISCO POLI-CORTE 10 X 1/8 X ;;P€;;;;;;0;;;;;;;;0;;
;;;;;;;;3/4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;06988-;DISCO DIAMANTADO ;;P€;;;;;;0;;688;;;;;;0;;
;;;;;;;;ASFALTO/CONCRETO 450MM ;;;;;;;;;;;;;;;;;;
;;;;;;;;ROCAST;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;07133-;DISCO CORTE NORTON  AR ;;P€;;;;;;0;;0;;;;0;;0;;
;;;;;;;;302  12 X 5/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;07136-;DISCO CORTE TELSTAR  12 X ;;P€;;;;;;0;;;;;;0;;0;;
;;;;;;;;3/4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;07406-;DISCO CORTE TELSTAR  10 X ;;P€;;;;;;0;;9,07;;;;-2;;-18,14;;
;;;;;;;;5/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09056-;DISCO CORTE TURBOINOX  ;;P€;;;;;;0;;10;;;;5;;50;;
;;;;;;;;INOX  7 X 1,6 X 7/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09058-;DISCO CORTE WALTER  12 X ;;P€;;;;;;0;;13;;;;16;;208;;
;;;;;;;;1/8 X 1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09059-;DISCO CORTE WALTER  12 X ;;P€;;;;;;0;;14;;;;5;;70;;
;;;;;;;;1/8 X 1 1/4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09060-;DISCO CORTE TURBOINOX  ;;P€;;;;;;0;;1;;;;0;;0;;
;;;;;;;;115 X 1.0 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89901E+12;;;;;;09062-;DISCO DIAMANTADO ;;P€;;;;;;0;;8,1;;;;9;;72,9;;
;;;;;;;;SEGMENTADO 110 X 20 KALA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09063-;DISCO DIAMANTADO ;;P€;;;;;;0;;8;;;;-5;;-40;;
;;;;;;;;CONTINUO 110 X 20  KALA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09324-;DISCO CORTE NORTON  ;;P€;;;;;;0;;15;;;;14;;210;;
;;;;;;;;SUPER AR 312  9;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09863-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;40,1;;;;6;;240,6;;
;;;;;;;; CLASSIC TURBO    180 X ;;;;;;;;;;;;;;;;;;
;;;;;;;;22,23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09895-;DISCO DIAMANTADO KALA  ;;P€;;;;;;0;;22,2;;;;0;;0;;
;;;;;;;;PRO SEGMENTADO 180 X 25;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09897-;DISCO CORTE ACO CARBO ;;P€;;;;;;0;;6,11;;;;0;;0;;
;;;;;;;;180 X 3.0 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;09932-;DISCO DIAMANTADO ;;P€;;;;;;0;;28,07;;;;0;;0;;
;;;;;;;;PORCELANATO CORTAG ;;;;;;;;;;;;;;;;;;
;;;;;;;;110MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;10087-;DISCO DIAMANTADO DINSER ;;P€;;;;;;0;;27,83;;;;1;;27,83;;
